Aircraft,System,NO,AJL/DMI,DEFECT/TASK,STATUS,SPARES,DFP,REMARKS,ROBBING DECLARATION,RECEIVING AIRCRAFT,9M-LDJ Compatibility,MATPLAN UPDATE,SPARE EDD,OPTION,BOOK
9M-LNR,PNEUMATICS,1,A758067 D2,FOUND BONDING JUMPER AT ENGINE #1 AND #2 ANTI ICE VALVE FRAYED. RQ: 939305,OPEN,BACJ40AC54-9//JUMPER//QTY:3//RQ:939305,,,,,,,,,BOOK 4
9M-LNR,PNEUMATICS,,,,,BACB302F4-10//QTY:2//AVAIL K102,,,,,,,,,BOOK 5
9M-LNR,PNEUMATICS,,,,,BACB302F3-06//QTY:6//AVAIL K102,,,,,,,,,BOOK 6
9M-LNR,PNEUMATICS,,,,,NAS1149D0416H//QTY:6//AVAIL K102,,,,,,,,,BOOK 7
9M-LNR,PNEUMATICS,,,,,NAS1149C0316R//QTY:2//AVAIL K102,,,,,,,,,BOOK 8
9M-LNR,PNEUMATICS,,,,,AS3485-09//QTY:2//AVAIL K102,,,,,,,,,BOOK 9
9M-LNR,PNEUMATICS,,,,,PLH54CD//BACN10YR4CD//QTY:2//AVAIL K102,,,,,,,,,BOOK 10
9M-LNR,PNEUMATICS,2,A758358 D2,TO INSTALL #1 ENG PRSOV,OPEN,"3214552-6//VALVE, PRESSURE REGULATOR AND SHUTOFF//QTY:1//RQ :934759",,,CAMO/MCC/RD/B737/2025/1665,,COMP,TBC,,,BOOK 3
9M-LNR,PNEUMATICS,,,,,AS1895-7-350//SEAL//QTY:2//RQ:934758,,,,,,,,,
9M-LNR,PNEUMATICS,,,,,MS24391J6//PLUG//QTY:1//RQ:934760,,,,,,,,,
9M-LNR,PNEUMATICS,,,,,801A50-0005A//SEAL//QTY: 1// RQ:934761,,,,,,AVAILABLE AT K102 // PL 484657,,,
9M-LNR,PNEUMATICS,,,,,J522P52//REDUCER//QTY:1//RQ:934762,,,,,,,,,
9M-LNR,PNEUMATICS,,,,,801A50-0006A//SEAL//QTY:2//RQ:934764,,,,,,AVAILABLE AT K102 // PL 484657,,,
9M-LNR,PNEUMATICS,,,,,J522P53//REDUCER-TUBE//QTY:1//RQ:934763,,,,,,,,,
9M-LNR,PNEUMATICS,3,A758359 D2,TO INSTALL #1 ENG HIGH STAGE VALVE,OPEN,3214446-4//VALVE ASSY HIGH STAGE//QTY:1//RQ:934765,,,CAMO/MCC/RD/B737/2025/1666,,COMP,TBC,,,BOOK 3
